X Accel,Y Accel,Z Accel,X Rotation,Y Rotation,Z Rotation,time,V,Prev V
0.368754097,-0.80152924,9.814848449,-0.03,-0.02,-0.02,25.95533967,0,0
0.212130781,-0.739620462,9.760521737,-0.07,-0.02,-0.03,26.01176405,0,0
0.063123423,-0.718669068,9.820294069,-0.05,-0.01,-0.05,26.06751275,0,0
-0.001471619,-0.79410452,9.915393902,-0.04,-0.01,-0.05,26.12277627,0,0
0.020631737,-0.865826547,9.933648769,-0.05,-0.01,-0.03,26.17957592,0,0
0.128528647,-0.844827795,9.877136753,-0.06,-0.02,0,26.23522258,0,0
0.297341895,-0.764709199,9.818405344,-0.04,0,0.02,26.2912786,0,0
0.437551113,-0.681325279,9.790260185,-0.04,-0.01,0.01,26.34612083,0,0
0.472478463,-0.616204198,9.796362427,-0.03,0,-0.01,26.40262365,0,0
0.394953103,-0.612020787,9.851001634,-0.06,-0.01,-0.04,26.4568572,0,0
0.232864756,-0.692280161,9.929093292,-0.07,-0.01,-0.05,26.51380467,0,0
0.048980068,-0.773224259,9.940652065,-0.05,-0.02,-0.06,26.56911135,0,0
-0.048633547,-0.758673012,9.85435015,-0.05,-0.02,-0.04,26.62538338,0,0
0.010980402,-0.691240897,9.780344545,-0.05,-0.01,-0.01,26.68299532,0,0
0.181888405,-0.679286067,9.801940149,-0.06,0,0,26.73712683,0,0
0.349307848,-0.728781602,9.848128246,-0.04,0,0.02,26.79418778,0,0
0.429213211,-0.76468563,9.856740062,-0.05,0,0.02,26.84934711,0,0
0.400953978,-0.757494349,9.864304162,-0.04,0,-0.01,26.90515208,0,0
0.288780741,-0.733661502,9.875000081,-0.05,-0.03,-0.04,26.96037173,0,0
0.148211592,-0.717402389,9.85752455,-0.06,-0.01,-0.06,27.01631856,0,0
0.051184906,-0.722586326,9.840025415,-0.05,0,-0.07,27.07230759,0,0
0.048583437,-0.749210947,9.853179537,-0.05,-0.01,-0.02,27.12496233,0,0
0.140144666,-0.765617422,9.870231922,-0.05,-0.01,0.02,27.18428326,0,0
0.284866928,-0.740958526,9.874686346,-0.04,0,0.02,27.23916578,0,0
0.414214552,-0.690057278,9.882130717,-0.05,0,0,27.29421973,0,0
0.442480186,-0.653951576,9.874780428,-0.06,0,-0.02,27.34853554,0,0
0.335431076,-0.651178674,9.824881424,-0.05,0,-0.03,27.40361762,0,0
0.163406977,-0.666759577,9.786021295,-0.06,-0.02,-0.05,27.45941305,0,0
0.023968111,-0.676232207,9.827594989,-0.05,-0.01,-0.06,27.5152061,0,0
-0.0377014,-0.665950208,9.889382434,-0.04,-0.01,-0.05,27.57132649,0,0
0.003793916,-0.643046888,9.864711072,-0.05,0,-0.01,27.62873173,0,0
0.14810287,-0.636532073,9.791833815,-0.06,0,0.01,27.68405128,0,0
0.303711392,-0.657474712,9.791500585,-0.04,0.01,0.01,27.73960233,0,0
